,text,phonetics,pronounciation_guide_hr,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
602,"He turned the map to Gregson, pointing with his finger.",HH_IY1 T_ER1_N_D DH_AH0 M_AE1_P T_UW1 G_R_EH1|G_S_AH0_N P_OY1_N|T_IH0_NG W_IH1_DH HH_IH1_Z F_IH1_NG|G_ER0,hee tuhrnd thuh map too gre|gsuhn poyn|ting with hiz fing|guhr,He turned the map to Gre|gson point|ing with his fin|ger,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['HH_IY1'], ['T_ER1_N_D'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['M_AE1_P'], ['T_UW1', 'T_IH0', 'T_AH0'], ['G_R_EH1|G_S_AH0_N'], ['P_OY1_N|T_IH0_NG'], ['W_IH1_DH', 'W_IH1_TH', 'W_IH0_TH', 'W_IH0_DH'], ['HH_IH1_Z', 'HH_IH0_Z'], ['F_IH1_NG|G_ER0']]","[1, 1, 3, 1, 3, 1, 1, 4, 2, 1]"
603,His eyes never took themselves for an instant from his companion's face.,HH_IH1_Z AY1_Z N_EH1|V_ER0 T_UH1_K DH_EH0_M|S_EH1_L_V_Z F_AO1_R AE1_N IH1_N_S|T_AH0_N_T F_R_AH1_M HH_IH1_Z K_AH0_M|P_EY1|N_IY0|AH0_N_Z F_EY1_S,hiz ayz ne|vuhr tuk them|selvz fawr an ins|tuhnt fruhm hiz kuhm|pey|nee|uhnz feys,His eyes nev|er took them|selves for an in|stant from his com|pa|nion's face,[10],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl']","[['HH_IH1_Z', 'HH_IH0_Z'], ['AY1_Z'], ['N_EH1|V_ER0'], ['T_UH1_K'], ['DH_EH0_M|S_EH1_L_V_Z', 'DH_AH0_M|S_EH1_L_V_Z'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['AE1_N', 'AH0_N'], ['IH1_N_S|T_AH0_N_T'], ['F_R_AH1_M'], ['HH_IH1_Z', 'HH_IH0_Z'], ['K_AH0_M|P_EY1|N_IY0|AH0_N_Z'], ['F_EY1_S']]","[2, 1, 1, 1, 2, 3, 2, 1, 1, 2, 1, 1]"
604,Something that Whittemore had not yet said thrilled him.,S_AH1_M|TH_IH0_NG DH_AE1_T W_IH1|T_M_AO0_R HH_AE1_D N_AA1_T Y_EH1_T S_EH1_D TH_R_IH1_L_D HH_IH1_M,suhm|thing that wi|tmawr had not yet sed thrild him,Some|thing that Whi|tte|more had not yet said thrilled him,[2],[],"['dataset', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['S_AH1_M|TH_IH0_NG'], ['DH_AE1_T', 'DH_AH0_T'], ['W_IH1|T_M_AO0_R', 'HH_W_IH1|T_M_AO0_R'], ['HH_AE1_D'], ['N_AA1_T'], ['Y_EH1_T'], ['S_EH1_D'], ['TH_R_IH1_L_D'], ['HH_IH1_M', 'IH0_M']]","[1, 2, 2, 1, 1, 1, 1, 1, 2]"
605,"Lakes and rivers, hundreds of them, thousands of them.",L_EY1_K_S AH0_N_D R_IH1|V_ER0_Z HH_AH1_N|D_R_AH0_D_Z AH1_V DH_EH1_M TH_AW1|Z_AH0_N_D_Z AH1_V DH_EH1_M,leyks uhnd ri|vuhrz huhn|druhdz uhv them thau|zuhndz uhv them,Lakes and riv|ers hun|dreds of them thou|sands of them,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['L_EY1_K_S'], ['AH0_N_D', 'AE1_N_D'], ['R_IH1|V_ER0_Z'], ['HH_AH1_N|D_R_AH0_D_Z', 'HH_AH1_N|D_ER0_D_Z', 'HH_AH1|N_ER0_D_Z'], ['AH1_V'], ['DH_EH1_M', 'DH_AH0_M'], ['TH_AW1|Z_AH0_N_D_Z', 'TH_AW1|Z_AH0_N_Z'], ['AH1_V'], ['DH_EH1_M', 'DH_AH0_M']]","[1, 2, 1, 3, 1, 2, 2, 1, 2]"
606,"Whitefish, Gregson, whitefish and trout.",W_AY1|T_F_IH2_SH G_R_EH1|G_S_AH0_N W_AY1|T_F_IH2_SH AH0_N_D T_R_AW1_T,way|tfish gre|gsuhn way|tfish uhnd traut,White|fish Gre|gson white|fish and trout,[],[],"['dataset', 'SonoriPy', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['W_AY1|T_F_IH2_SH', 'HH_W_AY1|T_F_IH2_SH'], ['G_R_EH1|G_S_AH0_N'], ['W_AY1|T_F_IH2_SH', 'HH_W_AY1|T_F_IH2_SH'], ['AH0_N_D', 'AE1_N_D'], ['T_R_AW1_T']]","[2, 1, 2, 2, 1]"
607,They robbed me a few years later.,DH_EY1 R_AA1_B_D M_IY1 AH0 F_Y_UW1 Y_IH1_R_Z L_EY1|T_ER0,they robd mee uh fyoo yirz ley|tuhr,They robbed me a few years lat|er,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['DH_EY1'], ['R_AA1_B_D'], ['M_IY1'], ['AH0', 'EY1'], ['F_Y_UW1'], ['Y_IH1_R_Z', 'Y_ER0_Z'], ['L_EY1|T_ER0']]","[1, 1, 1, 2, 1, 2, 1]"
608,He chuckled as he pulled out his pipe and began filling it.,HH_IY1 CH_AH1|K_AH0_L_D AE1_Z HH_IY1 P_UH1_L_D AW1_T HH_IH1_Z P_AY1_P AH0_N_D B_IH0|G_AE1_N F_IH1|L_IH0_NG IH1_T,hee chuh|kuhld az hee puld aut hiz payp uhnd bi|gan fi|ling it,He chuck|led as he pulled out his pipe and be|gan fill|ing it,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['HH_IY1'], ['CH_AH1|K_AH0_L_D'], ['AE1_Z', 'EH1_Z'], ['HH_IY1'], ['P_UH1_L_D'], ['AW1_T'], ['HH_IH1_Z', 'HH_IH0_Z'], ['P_AY1_P'], ['AH0_N_D', 'AE1_N_D'], ['B_IH0|G_AE1_N', 'B_IY0|G_AE1_N'], ['F_IH1|L_IH0_NG'], ['IH1_T', 'IH0_T']]","[1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2]"
609,"Everything was working smoothly, better than I had expected.",EH1|V_R_IY0|TH_IH2_NG W_AA1_Z W_ER1|K_IH0_NG S_M_UW1|DH_L_IY0 B_EH1|T_ER0 DH_AE1_N AY1 HH_AE1_D IH0_K_S|P_EH1_K|T_IH0_D,e|vree|thing woz wuhr|king smoo|thlee be|tuhr than ay had iks|pek|tid,Eve|ry|thing was work|ing smooth|ly bet|ter than I had ex|pec|ted,[],[],"['dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', 'SonoriPy']","[['EH1|V_R_IY0|TH_IH2_NG'], ['W_AA1_Z', 'W_AH0_Z'], ['W_ER1|K_IH0_NG'], ['S_M_UW1|DH_L_IY0'], ['B_EH1|T_ER0'], ['DH_AE1_N', 'DH_AH0_N'], ['AY1'], ['HH_AE1_D'], ['IH0_K_S|P_EH1_K|T_IH0_D', 'IH0_K_S|P_EH1_K|T_IH0_D']]","[1, 2, 1, 1, 1, 2, 1, 1, 2]"
610,I was completely lost in my work.,AY1 W_AA1_Z K_AH0_M|P_L_IY1|T_L_IY0 L_AO1_S_T IH0_N M_AY1 W_ER1_K,ay woz kuhm|plee|tlee lawst in may wuhrk,I was com|plete|ly lost in my work,[],[],"['acronym', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['AY1'], ['W_AA1_Z', 'W_AH0_Z'], ['K_AH0_M|P_L_IY1|T_L_IY0'], ['L_AO1_S_T'], ['IH0_N', 'IH1_N'], ['M_AY1'], ['W_ER1_K']]","[1, 2, 1, 1, 2, 1, 1]"
611,His slim hands gripped the edges of the table.,HH_IH1_Z S_L_IH1_M HH_AE1_N_D_Z G_R_IH1_P_T DH_AH0 EH1|JH_IH0_Z AH1_V DH_AH0 T_EY1|B_AH0_L,hiz slim handz gript thuh e|djiz uhv thuh tey|buhl,His slim hands gripped the e|dges of the ta|ble,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['HH_IH1_Z', 'HH_IH0_Z'], ['S_L_IH1_M'], ['HH_AE1_N_D_Z', 'HH_AE1_N_Z'], ['G_R_IH1_P_T'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['EH1|JH_IH0_Z', 'EH1|JH_IH0_Z'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['T_EY1|B_AH0_L']]","[2, 1, 2, 1, 3, 2, 1, 3, 1]"
612,He made no reply as he waited for Whittemore to continue.,HH_IY1 M_EY1_D N_OW1 R_IH0|P_L_AY1 AE1_Z HH_IY1 W_EY1|T_IH0_D F_AO1_R W_IH1|T_M_AO0_R T_UW1 K_AH0_N|T_IH1_N|Y_UW0,hee meyd now ri|play az hee wey|tid fawr wi|tmawr too kuhn|tin|yoo,He made no re|ply as he wai|ted for Whi|tte|more to con|tin|ue,[8],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset']","[['HH_IY1'], ['M_EY1_D'], ['N_OW1'], ['R_IH0|P_L_AY1', 'R_IY0|P_L_AY1'], ['AE1_Z', 'EH1_Z'], ['HH_IY1'], ['W_EY1|T_IH0_D'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['W_IH1|T_M_AO0_R', 'HH_W_IH1|T_M_AO0_R'], ['T_UW1', 'T_IH0', 'T_AH0'], ['K_AH0_N|T_IH1_N|Y_UW0']]","[1, 1, 1, 2, 2, 1, 1, 3, 2, 3, 1]"
613,Philip dropped back into his chair.,F_IH1|L_AH0_P D_R_AA1_P_T B_AE1_K IH1_N|T_UW0 HH_IH1_Z CH_EH1_R,fi|luhp dropt bak in|too hiz cher,Phil|ip dropped back in|to his chair,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['F_IH1|L_AH0_P', 'F_IH1|L_IH0_P'], ['D_R_AA1_P_T'], ['B_AE1_K'], ['IH1_N|T_UW0', 'IH0_N|T_UW1', 'IH0_N|T_AH0'], ['HH_IH1_Z', 'HH_IH0_Z'], ['CH_EH1_R']]","[2, 1, 1, 3, 2, 1]"
614,If I was out of the game it would be easily made.,IH1_F AY1 W_AA1_Z AW1_T AH1_V DH_AH0 G_EY1_M IH1_T W_UH1_D B_IY1 IY1|Z_AH0|L_IY0 M_EY1_D,if ay woz aut uhv thuh geym it wud bee ee|zuh|lee meyd,If I was out of the game it would be eas|i|ly made,[],[],"['1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['IH1_F', 'IH0_F'], ['AY1'], ['W_AA1_Z', 'W_AH0_Z'], ['AW1_T'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['G_EY1_M'], ['IH1_T', 'IH0_T'], ['W_UH1_D'], ['B_IY1', 'B_IY0'], ['IY1|Z_AH0|L_IY0'], ['M_EY1_D']]","[2, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1]"
615,"MacDougall, my engineer, believes it.",M_AH0_K|D_UW1|G_AH0_L M_AY1 EH2_N|JH_AH0|N_IH1_R B_IH0|L_IY1_V_Z IH1_T,muhk|doo|guhl may en|djuh|nir bi|leevz it,Mac|Dou|gall my en|gi|neer be|lieves it,[],[],"['SonoriPy', '1 vowel = 1 syl', 'dataset', 'SonoriPy', '1 vowel = 1 syl']","[['M_AH0_K|D_UW1|G_AH0_L'], ['M_AY1'], ['EH2_N|JH_AH0|N_IH1_R'], ['B_IH0|L_IY1_V_Z'], ['IH1_T', 'IH0_T']]","[1, 1, 1, 1, 2]"
616,"It is growing, every day, every hour.",IH1_T IH1_Z G_R_OW1|IH0_NG EH1|V_R_IY0 D_EY1 EH1|V_R_IY0 AW1_R,it iz grow|ing e|vree dey e|vree aur,It is grow|ing eve|ry day eve|ry hour,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset']","[['IH1_T', 'IH0_T'], ['IH1_Z', 'IH0_Z'], ['G_R_OW1|IH0_NG'], ['EH1|V_ER0|IY0', 'EH1|V_R_IY0'], ['D_EY1'], ['EH1|V_ER0|IY0', 'EH1|V_R_IY0'], ['AW1|ER0', 'AW1_R']]","[2, 2, 1, 2, 1, 2, 2]"
617,"Now, you understand.",N_AW1 Y_UW1 AH2_N|D_ER0_S|T_AE1_N_D,nau yoo uhn|duhrs|tand,Now you un|der|stand,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['N_AW1'], ['Y_UW1'], ['AH2_N|D_ER0_S|T_AE1_N_D']]","[1, 1, 1]"
618,You have associated with some of these men.,Y_UW1 HH_AE1_V AH0|S_OW1|S_IY0|EY2|T_IH0_D W_IH1_DH S_AH1_M AH1_V DH_IY1_Z M_EH1_N,yoo hav uh|sow|see|ey|tid with suhm uhv theez men,You have as|so|ci|at|ed with some of these men,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['Y_UW1'], ['HH_AE1_V'], ['AH0|S_OW1|S_IY0|EY2|T_IH0_D', 'AH0|S_OW1|SH_IY0|EY2|T_IH0_D'], ['W_IH1_DH', 'W_IH1_TH', 'W_IH0_TH', 'W_IH0_DH'], ['S_AH1_M'], ['AH1_V'], ['DH_IY1_Z'], ['M_EH1_N']]","[1, 1, 2, 4, 1, 1, 1, 1]"
619,"And there's no chivalry, no quarter shown in this fight.",AH0_N_D DH_EH1_R_Z N_OW1 SH_IH1|V_AH0_L|R_IY0 N_OW1 K_W_AO1_R|T_ER0 SH_OW1_N IH0_N DH_IH1_S F_AY1_T,uhnd therz now shi|vuhl|ree now kwawr|tuhr shown in this fayt,And there's no chiv|al|ry no quar|ter shown in this fight,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['AH0_N_D', 'AE1_N_D'], ['DH_EH1_R_Z'], ['N_OW1'], ['SH_IH1|V_AH0_L|R_IY0'], ['N_OW1'], ['K_W_AO1_R|T_ER0'], ['SH_OW1_N'], ['IH0_N', 'IH1_N'], ['DH_IH1_S', 'DH_IH0_S'], ['F_AY1_T']]","[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]"
620,Lord Fitzhugh is the key to the whole situation.,L_AO1_R_D F_IH0_T_S|HH_Y_UW1 IH1_Z DH_AH0 K_IY1 T_UW1 DH_AH0 HH_OW1_L S_IH2|CH_UW0|EY1|SH_AH0_N,lawrd fits|hyoo iz thuh kee too thuh howl si|choo|ey|shuhn,Lord Fitz|hugh is the key to the whole sit|u|a|tion,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['L_AO1_R_D'], ['F_IH0_T_S|HH_Y_UW1'], ['IH1_Z', 'IH0_Z'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['K_IY1'], ['T_UW1', 'T_IH0', 'T_AH0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['HH_OW1_L'], ['S_IH2|CH_UW0|EY1|SH_AH0_N']]","[1, 1, 2, 3, 1, 3, 3, 1, 1]"
621,All operations have been carried on from Montreal and Toronto.,AO1_L AA2|P_ER0|EY1|SH_AH0_N_Z HH_AE1_V B_IH1_N K_AE1|R_IY0_D AA1_N F_R_AH1_M M_AH2_N|T_R_IY0|AO1_L AH0_N_D T_ER0|AA1_N|T_OW0,awl o|puhr|ey|shuhnz hav bin ka|reed on fruhm muhn|tree|awl uhnd tuhr|on|tow,All o|pe|ra|tions have been car|ried on from Mont|re|al and To|ron|to,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['AO1_L'], ['AA2|P_ER0|EY1|SH_AH0_N_Z'], ['HH_AE1_V'], ['B_IH1_N', 'B_AH0_N', 'B_IH0_N'], ['K_AE1|R_IY0_D', 'K_EH1|R_IY0_D'], ['AA1_N', 'AO1_N'], ['F_R_AH1_M'], ['M_AH2_N|T_R_IY0|AO1_L'], ['AH0_N_D', 'AE1_N_D'], ['T_ER0|AA1_N|T_OW0', 'T_AO0|R_AA1_N|T_OW0']]","[1, 1, 1, 3, 2, 2, 1, 1, 2, 2]"
622,Gregson held a lighted match until it burnt his fingertips.,G_R_EH1|G_S_AH0_N HH_EH1_L_D AH0 L_AY1|T_IH0_D M_AE1_CH AH0_N|T_IH1_L IH1_T B_ER1_N_T HH_IH1_Z F_IH1_NG|G_ER0|T_IH2_P_S,gre|gsuhn held uh lay|tid mach uhn|til it buhrnt hiz fing|guhr|tips,Gre|gson held a light|ed match un|til it burnt his fin|ger|tips,[],[],"['SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['G_R_EH1|G_S_AH0_N'], ['HH_EH1_L_D'], ['AH0', 'EY1'], ['L_AY1|T_IH0_D', 'L_AY1|T_IH0_D'], ['M_AE1_CH'], ['AH0_N|T_IH1_L'], ['IH1_T', 'IH0_T'], ['B_ER1_N_T'], ['HH_IH1_Z', 'HH_IH0_Z'], ['F_IH1_NG|G_ER0|T_IH2_P_S']]","[1, 1, 2, 2, 1, 1, 2, 1, 2, 1]"
623,Gregson had seated himself under the lamp and was sharpening a pencil.,G_R_EH1|G_S_AH0_N HH_AE1_D S_IY1|T_IH0_D HH_IH0_M|S_EH1_L_F AH1_N|D_ER0 DH_AH0 L_AE1_M_P AH0_N_D W_AA1_Z SH_AA1_R|P_AH0|N_IH0_NG AH0 P_EH1_N|S_AH0_L,gre|gsuhn had see|tid him|self uhn|duhr thuh lamp uhnd woz shor|puh|ning uh pen|suhl,Gre|gson had sea|ted him|self un|der the lamp and was shar|pe|ning a pen|cil,[],[],"['SonoriPy', '1 vowel = 1 syl', 'SonoriPy', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset']","[['G_R_EH1|G_S_AH0_N'], ['HH_AE1_D'], ['S_IY1|T_IH0_D'], ['HH_IH0_M|S_EH1_L_F'], ['AH1_N|D_ER0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['L_AE1_M_P'], ['AH0_N_D', 'AE1_N_D'], ['W_AA1_Z', 'W_AH0_Z'], ['SH_AA1_R|P_AH0|N_IH0_NG', 'SH_AA1_R|P_N_IH0_NG'], ['AH0', 'EY1'], ['P_EH1_N|S_AH0_L']]","[1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 2, 1]"
624,He caught himself with a jerk.,HH_IY1 K_AA1_T HH_IH0_M|S_EH1_L_F W_IH1_DH AH0 JH_ER1_K,hee kot him|self with uh djuhrk,He caught him|self with a jerk,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IY1'], ['K_AA1_T', 'K_AO1_T'], ['HH_IH0_M|S_EH1_L_F'], ['W_IH1_DH', 'W_IH1_TH', 'W_IH0_TH', 'W_IH0_DH'], ['AH0', 'EY1'], ['JH_ER1_K']]","[1, 2, 1, 4, 2, 1]"
625,How does your wager look now.,HH_AW1 D_AH1_Z Y_AO1_R W_EY1|JH_ER0 L_UH1_K N_AW1,hau duhz yawr wey|djuhr luk nau,How does your wa|ger look now,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_AW1'], ['D_AH1_Z', 'D_IH0_Z'], ['Y_AO1_R', 'Y_UH1_R'], ['W_EY1|JH_ER0'], ['L_UH1_K'], ['N_AW1']]","[1, 2, 2, 1, 1, 1]"
626,He confessed that the sketch had startled him.,HH_IY1 K_AH0_N|F_EH1_S_T DH_AE1_T DH_AH0 S_K_EH1_CH HH_AE1_D S_T_AA1_R|T_AH0_L_D HH_IH1_M,hee kuhn|fest that thuh skech had stor|tuhld him,He con|fessed that the sketch had star|tled him,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl']","[['HH_IY1'], ['K_AH0_N|F_EH1_S_T'], ['DH_AE1_T', 'DH_AH0_T'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['S_K_EH1_CH'], ['HH_AE1_D'], ['S_T_AA1_R|T_AH0_L_D'], ['HH_IH1_M', 'IH0_M']]","[1, 1, 2, 3, 1, 1, 1, 2]"
627,"After all, the picture was only a resemblance.",AE1_F|T_ER0 AO1_L DH_AH0 P_IH1|K_CH_ER0 W_AA1_Z OW1_N|L_IY0 AH0 R_IH0|Z_EH1_M|B_L_AH0_N_S,af|tuhr awl thuh pi|kchuhr woz own|lee uh ri|zem|bluhns,Af|ter all the pic|ture was on|ly a re|sem|blance,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['AE1_F|T_ER0'], ['AO1_L'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['P_IH1|K_CH_ER0'], ['W_AA1_Z', 'W_AH0_Z'], ['OW1_N|L_IY0'], ['AH0', 'EY1'], ['R_IH0|Z_EH1_M|B_L_AH0_N_S', 'R_IY0|Z_EH1_M|B_L_AH0_N_S']]","[1, 1, 3, 1, 2, 1, 2, 2]"
628,"He wondered, too, where Roscoe was.",HH_IY1 W_AH1_N|D_ER0_D T_UW1 W_EH1_R R_AA1_S|K_OW0 W_AA1_Z,hee wuhn|duhrd too wer ros|kow woz,He won|dered too where Ros|coe was,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['HH_IY1'], ['W_AH1_N|D_ER0_D'], ['T_UW1'], ['W_EH1_R', 'HH_W_EH1_R'], ['R_AA1_S|K_OW0'], ['W_AA1_Z', 'W_AH0_Z']]","[1, 1, 1, 2, 1, 2]"
629,Philip knew that she was not an Indian.,F_IH1|L_AH0_P N_UW1 DH_AE1_T SH_IY1 W_AA1_Z N_AA1_T AE1_N IH1_N|D_IY0|AH0_N,fi|luhp noo that shee woz not an in|dee|uhn,Phil|ip knew that she was not an In|di|an,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['F_IH1|L_AH0_P', 'F_IH1|L_IH0_P'], ['N_UW1', 'N_Y_UW1'], ['DH_AE1_T', 'DH_AH0_T'], ['SH_IY1'], ['W_AA1_Z', 'W_AH0_Z'], ['N_AA1_T'], ['AE1_N', 'AH0_N'], ['IH1_N|D_IY0|AH0_N']]","[2, 2, 2, 1, 2, 1, 2, 1]"
630,In her haste to get away she had forgotten these things.,IH0_N HH_ER1 HH_EY1_S_T T_UW1 G_EH1_T AH0|W_EY1 SH_IY1 HH_AE1_D F_ER0|G_AA1|T_AH0_N DH_IY1_Z TH_IH1_NG_Z,in huhr heyst too get uh|wey shee had fuhr|go|tuhn theez thingz,In her haste to get a|way she had for|got|ten these things,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['IH0_N', 'IH1_N'], ['HH_ER1', 'HH_ER0'], ['HH_EY1_S_T'], ['T_UW1', 'T_IH0', 'T_AH0'], ['G_EH1_T', 'G_IH1_T'], ['AH0|W_EY1'], ['SH_IY1'], ['HH_AE1_D'], ['F_ER0|G_AA1|T_AH0_N', 'F_AO0_R|G_AA1|T_AH0_N'], ['DH_IY1_Z'], ['TH_IH1_NG_Z']]","[2, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1]"
631,"Philip took a step toward Gregson, half determined to awaken him.",F_IH1|L_AH0_P T_UH1_K AH0 S_T_EH1_P T_AH0|W_AO1_R_D G_R_EH1|G_S_AH0_N HH_AE1_F D_IH0|T_ER1|M_AH0_N_D T_UW1 AH0|W_EY1|K_AH0_N HH_IH1_M,fi|luhp tuk uh step tuh|wawrd gre|gsuhn haf di|tuhr|muhnd too uh|wey|kuhn him,Phil|ip took a step to|ward Gre|gson half de|ter|mined to a|wak|en him,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['F_IH1|L_AH0_P', 'F_IH1|L_IH0_P'], ['T_UH1_K'], ['AH0', 'EY1'], ['S_T_EH1_P'], ['T_AH0|W_AO1_R_D', 'T_AO1_R_D'], ['G_R_EH1|G_S_AH0_N'], ['HH_AE1_F'], ['D_IH0|T_ER1|M_AH0_N_D'], ['T_UW1', 'T_IH0', 'T_AH0'], ['AH0|W_EY1|K_AH0_N'], ['HH_IH1_M', 'IH0_M']]","[2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2]"
